seed,algorithm,timestep,regime,path_cost,latency,hops,packet_loss,bandwidth,reliability,congestion,tunneling_probability,energy,kappa
42,QT-APP without tunneling,8,Normal,0.4547767965313675,88.6728611257231,2,0.13339291421204558,72.42464667399977,0.8513165944423766,0.3300501246571662,1.0,0.65,1.0699999999999998
42,QT-APP without tunneling,9,Normal,0.3948712934524891,178.08039455674393,5,0.2116002447462072,51.868757495955506,0.8606015376826909,0.2353319432875321,1.0,0.67,1.0599999999999998
42,QT-APP without tunneling,10,Congestion,0.38687442448850684,226.79243114258077,5,0.3416474313834452,35.72766283655731,0.8189201826613962,0.40293792475157664,1.0,0.66,1.0699999999999998
42,QT-APP without tunneling,11,Congestion,0.39866994120274213,236.8357134712915,5,0.4819138546280818,33.6115951106063,0.7924821107161242,0.6958325036061567,1.0,0.7300000000000001,1.0199999999999998
42,QT-APP without tunneling,12,Congestion,0.4678025790458017,167.31931009844573,2,0.2834572956402708,22.841379387080405,0.7059612282050913,0.806192930671886,1.0,0.8000000000000002,0.9699999999999998
42,QT-APP without tunneling,13,Congestion,0.5836877456609878,389.298302305254,5,0.6232351951538547,8.528787590474803,0.6260996020352749,0.9582965888780037,1.0,0.8700000000000002,0.9199999999999997
42,QT-APP without tunneling,14,Congestion,0.6249779238971411,505.86751274818647,5,0.7560071413635655,10.547901933818993,0.6050892754957851,1.0,1.0,0.9100000000000003,0.8899999999999997
42,QT-APP without tunneling,15,Post-congestion,0.5408542394333009,453.1622078419675,5,0.6677942645869973,10.398479338806814,0.6209468700767019,0.9930971012943548,1.0,0.9300000000000003,0.8799999999999997
42,QT-APP without tunneling,16,Post-congestion,0.5315110783705765,460.0654018870251,5,0.6734726535882155,10.455190427609427,0.617306993704268,0.9910510315869521,1.0,0.9200000000000003,0.8899999999999997
42,QT-APP without tunneling,17,Post-congestion,0.5872639508935681,504.1657864204936,4,0.5963277812249819,5.795737818251486,0.6363709419926692,0.9810865298780633,1.0,0.9900000000000003,0.8399999999999996
42,QT-APP without tunneling,18,Post-congestion,0.4851111935209328,281.3848482185541,2,0.35779597548275366,9.205336206338846,0.6101483200005126,0.9190403148230137,1.0,1.0,0.8299999999999996
42,QT-APP without tunneling,19,Post-congestion,0.5274553301921285,462.6319051092763,5,0.6675931045463307,10.126211378774139,0.6281260832290968,0.982519588661971,1.0,1.0,0.7999999999999996
42,QT-APP without tunneling,20,Recovery,0.4307889118116645,351.2221318512335,6,0.7030800130296884,7.722575508303193,0.6306912841506279,0.8724998847346271,1.0,1.0,0.7899999999999996
42,QT-APP without tunneling,21,Recovery,0.45414421788236303,350.9893016481014,5,0.5978842807003597,14.911200480513605,0.6934183754125006,0.7950224300982254,1.0,1.0,0.7599999999999996
