seed,timestep,algorithm,path,path_cost,latency,congestion,packet_loss,bandwidth,reliability,hops,tunneling_probability,action,selection_probability,energy,kappa,volatility
42,36,QT-APP without adaptation,"[0, 2, 19]",1.2618019435948824,32.600804057100135,0.6716670081900744,0.24806142015015464,27.68468068405262,0.7752677521765355,2,0.6842338544803461,0.1581064696984953,0.5980952510796658,0.45,1.2,0.3008775708395239
42,37,QT-APP without adaptation,"[0, 2, 19]",1.2644523708120456,32.1424398536133,0.677553579542999,0.24891103191295494,26.653678293222278,0.7801586578259495,2,0.6655581789429456,0.16963717648588636,0.5679046200396805,0.45,1.2,0.002100509696166862
42,38,QT-APP without adaptation,"[0, 3, 2, 19]",1.7921255096686437,80.13491019140622,0.5318746703209947,0.2698848211242222,26.51101718775371,0.7429942171146965,3,1.0,0.0,0.2577450640592037,0.45,1.2,0.4173135746645169
42,39,QT-APP without adaptation,"[0, 2, 19]",1.253781403975788,32.89657865292255,0.6843040943370609,0.2507670026800438,27.678961826852117,0.7861665171909842,2,1.0,0.0,0.6709957272768651,0.45,1.2,0.3003941982793344
42,0,QT-APP,"[0, 2, 19]",0.8228145873722966,20.91933525021747,0.11760506580628943,0.10552989272147573,81.20196007338079,0.9437207185581487,2,1.0,0.0,0.623992829397873,0.45,1.2,0.0
42,1,QT-APP,"[0, 2, 3, 4, 19]",2.1845036188668137,84.80021030441199,0.2761397908575898,0.1489976760398286,87.39005926701716,0.971985173427382,4,0.6234438296081749,0.19687358615017742,0.02585437045919161,0.45,1.2,1.654916007071709
42,2,QT-APP,"[0, 3, 2, 19]",1.2514761464486308,42.23999303068191,0.10839220800175443,0.08440654618944177,82.49825660739621,0.9004149815742313,3,1.0,0.0,0.2567677498122965,0.47250000000000003,1.14,0.4271118913971771
42,3,QT-APP,"[0, 3, 2, 19]",1.25730492149611,41.381870992350244,0.09869752480474615,0.08539947554734284,84.70991747144187,0.8991217537659716,3,1.0,0.0,0.23939017478899874,0.49612500000000004,1.083,0.004657519892824025
42,4,QT-APP,"[0, 2, 19]",0.8288814861830743,19.128213286737733,0.1117037226239545,0.10947846236648517,82.44559892317147,0.9366797685984583,2,1.0,0.0,0.549638100385603,0.49612500000000004,1.083,0.34074744160170795
42,5,QT-APP,"[0, 2, 19]",0.8464777483593072,18.665646255383248,0.12889753448570562,0.11310205674378837,79.87598730637544,0.9371919526817675,2,1.0,0.0,0.5181376662272544,0.5209312500000001,1.0288499999999998,0.021228924121905673
42,6,QT-APP,"[0, 2, 19]",0.8340485471073047,19.27771937143891,0.12506406647462956,0.11131330452459354,80.00221873204103,0.9407369840994847,2,1.0,0.0,0.5162074502145371,0.5209312500000001,1.0288499999999998,0.01468343530127465
42,7,QT-APP,"[0, 3, 5, 19]",1.9714862252328955,70.41689038497836,0.17132021606174397,0.08664960827658974,40.73134498218409,0.9068143572606481,3,1.0,0.0,0.0564526725583141,0.5209312500000001,1.0288499999999998,1.3637547623223107
42,8,QT-APP,"[0, 3, 2, 19]",1.2572927015159974,41.51735486561697,0.10418187317683743,0.08329234333463564,83.54292746822726,0.8973121415640738,3,1.0,0.0,0.2208393748161404,0.5469778125000001,0.9774074999999998,0.36226148302533995
42,9,QT-APP,"[0, 3, 4, 19]",1.7607002360969792,73.2341197112652,0.2321888808570598,0.08323816081395985,81.28714897131287,0.9312154901585413,3,1.0,0.0,0.07894379681876898,0.5743267031250001,0.9285371249999997,0.4003900873471957
42,10,QT-APP,"[0, 2, 19]",0.9022930006811435,23.30130926036801,0.2872340235505952,0.15027592317798155,62.1392410438402,0.8956183049688253,2,1.0,0.0,0.5047617797116043,0.6030430382812502,0.8821102687499998,0.487537411432797
42,11,QT-APP,"[0, 2, 3, 5, 19]",2.412493123284812,117.39679706629411,0.505592828141898,0.29332293797935927,33.003006129814466,0.8825408881595949,4,1.0,0.0,0.028874865524094174,0.6331951901953127,0.8380047553124997,1.6737358280110946
42,12,QT-APP,"[0, 3, 4, 19]",2.227248378847038,140.81273750614378,0.6623355002591943,0.2342905371562073,33.613445547039625,0.8081273507635313,3,1.0,0.0,0.053205953850034085,0.6648549497050783,0.7961045175468747,0.07678560516912387
42,13,QT-APP,"[0, 2, 19]",1.1650975981043679,41.98684090542119,0.7272801324375848,0.258387282104956,25.133661032347945,0.7735623486858627,2,1.0,0.0,0.6734087328086078,0.6648549497050783,0.7961045175468747,0.4768892373344123
42,14,QT-APP,"[0, 2, 19]",1.389543148577826,52.215539547628104,0.8782114748359694,0.2973378848023125,19.013400465435566,0.7369793576305093,2,1.0,0.0,0.7537275560542128,0.6980976971903322,0.7562992916695309,0.1926409863333635
42,15,QT-APP,"[0, 2, 19]",1.3979539234349168,53.09346970582147,0.8714073003913383,0.29717285325608744,18.92862106815474,0.7396693603508036,2,1.0,0.0,0.7512325652337205,0.6980976971903322,0.7562992916695309,0.006052906572709907
42,16,QT-APP,"[0, 2, 19]",1.401253020563366,53.179655130456894,0.8639396451480339,0.29994828919051497,19.086364768096473,0.7386930336911341,2,1.0,0.0,0.7515706672528429,0.6980976971903322,0.7562992916695309,0.0023599469718880313
42,17,QT-APP,"[0, 2, 19]",1.3989274800404146,54.25738521908889,0.8417198560426107,0.3012649004149708,18.873035575894882,0.7320851747023424,2,1.0,0.0,0.7419877711283549,0.7679074669093655,0.6806693625025778,0.0016596149937407082
42,18,QT-APP,"[0, 2, 19]",1.4280715561147497,52.90538657207897,0.8662127936471374,0.30252451706835604,19.254580023766316,0.7354864825935474,2,1.0,0.0,0.7334460191243097,0.7679074669093655,0.6806693625025778,0.020833157179450897
42,19,QT-APP,"[0, 2, 19]",1.4222290547771408,51.04208127181036,0.8647468750623863,0.308753098682362,19.37511995904759,0.7353896696033628,2,1.0,0.0,0.7349659545454791,0.7679074669093655,0.6806693625025778,0.004091182484933845
42,20,QT-APP,"[0, 2, 19]",1.3371122429407685,42.13854131830103,0.7803878337828083,0.28740723875919827,21.506829615349993,0.7483501064422683,2,1.0,0.0,0.6974974804126022,0.7679074669093655,0.6806693625025778,0.059847470806810285
42,21,QT-APP,"[0, 2, 19]",1.2928568362988,35.20578477335392,0.6992088500835572,0.2650034247308405,24.307105023794293,0.7615456074676873,2,1.0,0.0,0.6619581105059479,0.7679074669093655,0.6806693625025778,0.033097749927586975
42,22,QT-APP,"[0, 2, 19]",1.2165765886572222,29.761132295504318,0.6028665115324967,0.24425709224041214,26.612889024112953,0.7800123826939147,2,1.0,0.0,0.6312089162196585,0.7679074669093655,0.6806693625025778,0.059001310508558294
42,23,QT-APP,"[0, 2, 19]",1.2023689701569478,29.751060618259828,0.5930224881916213,0.24397134595245495,26.56842607547754,0.775743510246389,2,1.0,0.0,0.6300200369450439,0.7679074669093655,0.6806693625025778,0.011678359285177312
42,24,QT-APP,"[0, 2, 19]",1.2144661036659716,29.78456790094421,0.5965485903990764,0.24303036836781033,27.49794540408108,0.7796666953941769,2,1.0,0.0,0.6472069519928516,0.7679074669093655,0.6806693625025778,0.010061082587190184
42,25,QT-APP,"[0, 3, 2, 19]",1.8657720338756398,80.35650950312542,0.5239712419896746,0.2550036533010631,27.105860976393966,0.7513597341729413,3,1.0,0.0,0.16318702332445886,0.7679074669093655,0.6806693625025778,0.5362899205203377
